open_time,open,high,low,close,volume,taker_buy_base_asset_volume
2025-06-07 08:44:00+00:00,2486.0,2486.1,2485.35,2485.35,510.88,116.268
2025-06-07 08:45:00+00:00,2485.35,2486.9,2485.1,2486.74,939.998,535.66
2025-06-07 08:46:00+00:00,2486.74,2486.74,2485.05,2485.66,490.427,165.251
2025-06-07 08:47:00+00:00,2485.66,2485.7,2484.0,2484.0,2425.272,776.271
2025-06-07 08:48:00+00:00,2484.01,2484.76,2483.58,2484.74,1174.389,462.247
2025-06-07 08:49:00+00:00,2484.74,2484.9,2484.08,2484.7,717.581,206.963
2025-06-07 08:50:00+00:00,2484.69,2484.89,2484.36,2484.78,368.823,125.995
2025-06-07 08:51:00+00:00,2484.78,2484.85,2484.53,2484.84,576.431,226.039
2025-06-07 08:52:00+00:00,2484.85,2484.85,2483.51,2483.51,1073.062,173.003
2025-06-07 08:53:00+00:00,2483.51,2483.94,2482.36,2482.64,4071.424,931.179
2025-06-07 08:54:00+00:00,2482.63,2482.84,2480.25,2482.3,5115.552,1391.988
2025-06-07 08:55:00+00:00,2482.3,2484.93,2482.0,2483.52,3466.364,2829.892
2025-06-07 08:56:00+00:00,2483.53,2483.53,2482.38,2483.03,1635.046,478.344
2025-06-07 08:57:00+00:00,2483.02,2483.58,2483.0,2483.1,497.906,243.965
2025-06-07 08:58:00+00:00,2483.11,2483.57,2482.55,2482.91,937.517,466.787
2025-06-07 08:59:00+00:00,2482.91,2482.91,2482.39,2482.63,617.2,90.868
2025-06-07 09:00:00+00:00,2482.63,2483.68,2482.62,2483.48,964.07,683.724
2025-06-07 09:01:00+00:00,2483.48,2483.82,2483.06,2483.06,742.307,391.705
2025-06-07 09:02:00+00:00,2483.06,2483.07,2481.91,2481.91,1275.642,339.992
2025-06-07 09:03:00+00:00,2481.91,2482.94,2481.91,2482.94,996.817,597.241
2025-06-07 09:04:00+00:00,2482.93,2484.09,2482.33,2484.09,1009.331,700.178
2025-06-07 09:05:00+00:00,2484.08,2484.43,2484.0,2484.43,1018.647,749.79
2025-06-07 09:06:00+00:00,2484.43,2485.0,2484.29,2485.0,1323.458,1076.815
2025-06-07 09:07:00+00:00,2485.0,2485.93,2484.99,2485.05,2855.109,2350.353
2025-06-07 09:08:00+00:00,2485.04,2485.93,2484.68,2485.93,931.293,639.303
2025-06-07 09:09:00+00:00,2485.92,2486.3,2485.54,2486.15,1640.413,1199.462
2025-06-07 09:10:00+00:00,2486.16,2486.85,2486.16,2486.85,1051.041,525.683
2025-06-07 09:11:00+00:00,2486.85,2486.99,2486.43,2486.44,699.362,329.985
2025-06-07 09:12:00+00:00,2486.43,2487.0,2486.03,2486.9,1145.889,607.645
2025-06-07 09:13:00+00:00,2486.9,2487.19,2486.34,2486.66,429.175,208.997
2025-06-07 09:14:00+00:00,2486.67,2486.67,2486.3,2486.66,535.419,212.179
2025-06-07 09:15:00+00:00,2486.66,2487.98,2486.66,2487.98,943.257,842.833
2025-06-07 09:16:00+00:00,2487.98,2488.11,2485.37,2485.37,1751.466,420.1
2025-06-07 09:17:00+00:00,2485.36,2485.82,2484.54,2484.54,1233.298,207.629
2025-06-07 09:18:00+00:00,2484.54,2484.55,2483.21,2483.68,751.221,315.312
2025-06-07 09:19:00+00:00,2483.69,2484.74,2483.5,2484.74,811.849,647.947
2025-06-07 09:20:00+00:00,2484.73,2484.8,2484.73,2484.8,262.887,189.053
2025-06-07 09:21:00+00:00,2484.8,2485.01,2484.34,2485.0,665.673,277.5
2025-06-07 09:22:00+00:00,2484.99,2486.12,2484.55,2486.11,478.696,263.395
2025-06-07 09:23:00+00:00,2486.12,2488.23,2486.12,2487.62,1102.712,756.724
2025-06-07 09:24:00+00:00,2487.6,2487.9,2486.87,2487.38,1072.652,727.894
2025-06-07 09:25:00+00:00,2487.37,2488.1,2487.37,2487.48,373.711,236.255
2025-06-07 09:26:00+00:00,2487.48,2488.35,2487.47,2488.34,590.853,418.058
2025-06-07 09:27:00+00:00,2488.33,2489.36,2488.33,2488.84,1184.744,841.61
2025-06-07 09:28:00+00:00,2488.85,2488.85,2488.22,2488.23,542.076,311.562
2025-06-07 09:29:00+00:00,2488.23,2488.32,2487.82,2487.82,335.368,146.143
2025-06-07 09:30:00+00:00,2487.83,2488.37,2487.66,2487.67,498.388,240.754
2025-06-07 09:31:00+00:00,2487.66,2487.9,2486.64,2487.9,915.055,248.776
2025-06-07 09:32:00+00:00,2487.89,2488.03,2486.77,2486.77,571.264,178.36
2025-06-07 09:33:00+00:00,2486.76,2486.99,2485.94,2486.74,723.023,243.509
