open_time,open,high,low,close,volume,taker_buy_base_asset_volume
2025-06-06 21:41:00+00:00,104367.5,104397.6,104332.4,104361.5,63.017,20.1
2025-06-06 21:42:00+00:00,104361.5,104361.6,104361.4,104361.5,18.774,12.006
2025-06-06 21:43:00+00:00,104361.5,104425.0,104361.4,104425.0,30.949,28.231
2025-06-06 21:44:00+00:00,104424.9,104425.0,104412.4,104412.5,18.739,7.819
2025-06-06 21:45:00+00:00,104412.5,104425.0,104412.4,104424.9,15.665,11.917
2025-06-06 21:46:00+00:00,104424.9,104425.0,104412.5,104412.5,11.029,2.526
2025-06-06 21:47:00+00:00,104412.5,104447.3,104412.5,104428.4,38.345,29.76
2025-06-06 21:48:00+00:00,104428.4,104440.4,104392.2,104392.2,34.757,12.688
2025-06-06 21:49:00+00:00,104392.1,104408.8,104389.7,104402.2,13.468,7.375
2025-06-06 21:50:00+00:00,104402.3,104402.3,104383.1,104383.3,16.617,8.429
2025-06-06 21:51:00+00:00,104383.3,104383.3,104378.5,104378.5,13.884,5.742
2025-06-06 21:52:00+00:00,104378.6,104378.6,104335.2,104335.2,21.046,3.491
2025-06-06 21:53:00+00:00,104335.1,104335.2,104335.0,104335.1,14.939,2.477
2025-06-06 21:54:00+00:00,104335.0,104376.7,104335.0,104376.7,28.699,21.193
2025-06-06 21:55:00+00:00,104376.7,104376.7,104337.2,104337.3,17.931,0.977
2025-06-06 21:56:00+00:00,104337.3,104337.3,104337.2,104337.3,8.243,7.132
2025-06-06 21:57:00+00:00,104337.3,104337.3,104337.2,104337.3,13.876,12.159
2025-06-06 21:58:00+00:00,104337.3,104349.5,104325.6,104325.7,19.738,9.486
2025-06-06 21:59:00+00:00,104325.6,104336.8,104309.9,104335.4,24.279,11.379
2025-06-06 22:00:00+00:00,104335.5,104358.2,104318.3,104318.3,24.355,10.486
2025-06-06 22:01:00+00:00,104318.3,104318.4,104292.0,104292.0,23.757,8.312
2025-06-06 22:02:00+00:00,104292.0,104292.2,104272.4,104291.3,69.282,33.476
2025-06-06 22:03:00+00:00,104291.3,104291.3,104268.1,104268.2,28.132,7.14
2025-06-06 22:04:00+00:00,104268.1,104268.2,104236.4,104241.7,95.629,71.449
2025-06-06 22:05:00+00:00,104241.7,104241.8,104235.8,104235.8,28.875,12.132
2025-06-06 22:06:00+00:00,104235.8,104235.9,104224.6,104224.6,44.869,8.146
2025-06-06 22:07:00+00:00,104224.7,104224.7,104213.6,104213.6,39.812,17.909
2025-06-06 22:08:00+00:00,104213.6,104213.8,104213.6,104213.6,49.165,34.536
2025-06-06 22:09:00+00:00,104213.7,104213.8,104206.0,104206.1,38.521,20.679
2025-06-06 22:10:00+00:00,104206.1,104237.1,104206.1,104237.1,76.952,68.284
